asr_segment_id,start,end,duration,text,speaker,language,start_hms,end_hms
13,322.782,341.547,18.765000000000043,ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ,,kn,05:22.782,05:41.547
14,341.969,370.589,28.620000000000005,ಸಾರಿಕರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸಾರಿ ಸ,,kn,05:41.969,06:10.589
15,373.272,401.403,28.13100000000003,ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ,,kn,06:13.272,06:41.403
16,403.613,430.124,26.511000000000024,ಸಾರಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿ,,kn,06:43.613,07:10.124
17,437.026,457.09,20.063999999999965,"बन्द्र कना वर, इन्द अस्टम्र वर, जा वर उन्द्र वास्वी,",,kn,07:17.026,07:37.090
18,462.052,488.174,26.121999999999957,ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ,,kn,07:42.052,08:08.174
19,491.347,520.49,29.14300000000003,ಸಾರಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿಸಿ ಸಿ,,kn,08:11.347,08:40.490
20,520.642,537.213,16.570999999999913,ಸಾರಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿ,,kn,08:40.642,08:57.213
21,538.681,568.617,29.935999999999922,uh... so uh... uh... uh... uh... uh... uh... uh... uh...,,kn,08:58.681,09:28.617
22,569.427,599.397,29.970000000000027,ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ,,kn,09:29.427,09:59.397
23,599.498,626.431,26.932999999999993,"so i can decide whether i can do it or not. if i can't do it, then i can decide whether i can do it or not. so i will do earrings book. i will give you 25% of the earrings. in case you don't want to do it, you have to split the necklace. if you have more amount, i will give you 25% of the necklace. this is 2 lakhs. this is 5 lakhs.",,kn,09:59.498,10:26.431
24,628.085,634.362,6.27699999999993,ಸಾರಿಲಿಲಿಲಿಲಿಲಿಲಿಲಿ,,kn,10:28.085,10:34.362
25,636.472,661.818,25.346000000000004,ಸಿಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ ಸಿ,,kn,10:36.472,11:01.818
